GENE_SYMBOL,NUM_PATHWAYS
PDHB,11
PDHA2,11
PDHA1,11
SCARB1,11
GSTP1,11
GUCY1A1,11
PPP2R5D,11
PIK3R6,11
FGF5,11
ITGB4,11
PPP2R5C,11
PPP2R5B,11
PPP2R5A,11
ARRB1,11
EHHADH,11
EIF2AK2,11
PTPN6,11
ARRB2,11
ECHS1,11
GRIN3B,11
GRIN3A,11
CD3E,11
CD3D,11
PIK3R5,11
LAT,11
ITGA9,11
ITGA8,11
DDIT3,11
PPP2R5E,11
GRIA4,11
ACTN4,11
ACTN1,11
TCIRG1,11
MMP2,11
MRAS,11
PLCE1,11
GOT1L1,11
GOT1,11
PLA2G6,11
RAB5A,11
IL2RB,11
ITGA1,11
LCK,11
ATP5F1D,11
ATP5F1C,11
ATP5F1B,11
ATP5F1A,11
C5,11
ERN1,11
SLC9A1,11
ADRB2,11
PDE3B,11
NPPA,11
CSF1R,11
ATP5PB,11
ATP5MC3,11
ATP5MC2,11
ATP5MC1,11
ATP5F1E,11
F2R,11
LDLR,11
ATP5PO,11
ATP5PF,11
ATP5PD,11
ATP8,11
IL2RA,11
ATP6V1H,11
ATP6V0C,11
ATP6V0A4,11
ATP6V0A2,11
ATP6V0A1,11
ATP6,11
KIF5A,11
NTRK1,11
CYP2E1,11
CYP1A2,11
CUL1,11
CXCL12,11
RRAS2,11
FGF18,11
FGF17,11
FGF16,11
FGF10,11
FGF1,11
KIF5C,11
KIF5B,11
BDKRB2,10
BCL2L11,10
RIGI,10
PAK4,10
TIRAP,10
CYP1A1,10
CYP3A4,10
HADHA,10
ATP6AP1,10
TNFRSF10A,10
ATP6V1G3,10
ATP6V1G1,10
ATP6V1G2,10
ATP6V1FP2,10
ATP6V1F,10
ATP6V0B,10
PLA2G12B,10
CGA,10
PLA2G1B,10
PLA2G2A,10
PLA2G2C,10
ATP6V1C1,10
ATP6V1B2,10
PIP5K1A,10
PIP5K1B,10
ATP6V1A,10
ATP6V1B1,10
TNFRSF10B,10
SEM1,10
TNFSF10,10
PLA2G3,10
PLA2G2F,10
PLA2G2E,10
CDKN2B,10
IL3,10
ULK1,10
POMC,10
PPARA,10
ITGA10,10
NCF2,10
ITGA11,10
ATP6V1D,10
ATP6V1E1,10
ATP6V1E2,10
ATP6V1C2,10
MYLK,10
MYLK2,10
MYLK3,10
PLA2G2D,10
PLA2G5,10
ESR1,10
VCL,10
LAMB3,10
ACTR3,10
ACTR3B,10
VCAM1,10
ACTR2,10
CSNK2A2,10
CSNK2A3,10
LAMC1,10
ITGB6,10
MYLK4,10
FGF19,10
KCNJ3,10
CAV3,10
RPS6KA1,10
ARPC1B,10
ARPC1A,10
NFKB2,10
ARPC5,10
ARPC4,10
ARPC3,10
ARPC2,10
ARPC5L,10
ACACB,10
KCNJ6,10
FLT1,10
LAMA3,10
LAMA4,10
LAMA5,10
LAMC2,10
ACTR3C,10
CD3G,10
CPT1A,10
CALR,10
SPHK1,10
SPHK2,10
DRD2,10
PTK2B,10
CSNK2A1,10
PIP5K1C,10
PKM,10
PLA2G10,10
PLA2G12A,10
GAB1,10
PPARGC1A,10
ADH5,10
RPS6KA6,10
HMOX1,10
MAVS,10
ITGA7,10
RPS6,10
RPS6KA3,10
RPS6KA2,10
VEGFB,10
ARHGEF1,10
ATP2B2,9
ATP2B1,9
PLPP3,9
PLPP2,9
PLPP1,9
FCGR3A,9
RAB5C,9
ADH4,9
ADH1C,9
ADH1B,9
ADH1A,9
ADRM1,9
ATP2B3,9
RAB5B,9
CHRM1,9
ADRA1A,9
GLUL,9
GLS2,9
GLS,9
ATP2B4,9
C1QB,9
C1QC,9
C1QA,9
STK11,9
ZAP70,9
HEXA,9
PARD3,9
HEXB,9
KNG1,9
BBC3,9
FGFR4,9
CYP2C9,9
IL6ST,9
ATP6V0E1,9
NOTCH2,9
ATP6V0E2,9
BDNF,9
FCGR3B,9
SQSTM1,9
ADRB3,9
NOTCH1,9
IL23A,9
BTRC,9
GAPDH,9
BUB1B-PAK6,9
TH,9
LRP6,9
SOCS1,9
LRP5,9
MAP1LC3BP1,9
MAP1LC3B2,9
MAP1LC3B,9
MAP1LC3A,9
MAP3K1,9
DDC,9
TLR9,9
FLT4,9
SHMT2,9
SHMT1,9
LAMB1,9
JAG1,9
PPP2R3A,9
LAMC3,9
PPP2R3B,9
PPP2R3C,9
ACSL5,9
ACSL6,9
CD209,9
ACSL4,9
NOTCH3,9
WASL,9
PIK3R4,9
TLR3,9
PKLR,9
ADH6,9
ADH7,9
VWF,9
ACACA,9
MAP1LC3C,9
RPS6KA5,9
PSMD4,9
PSMD6,9
PSMD7,9
PSMD8,9
ACSL1,9
ACSL3,9
CPT1C,9
PSMC5,9
ARF6,9
MYL5,9
FBXW11,9
UBA52,9
PSMC3,9
MYH7,9
PSMC4,9
PSMD3,9
PSMD2,9
RPS27A,9
HSPA5,9
AOX1,9
PSMD14,9
PSMD1,9
PSMC6,9
LAMB4,9
LAMB2,9
KCNJ5,9
PSMD11,9
PSMD12,9
PSMD13,9
MCU,9
MYH6,9
NGFR,9
NGF,9
PSMC2,9
RYR3,9
HBEGF,9
PAK6,9
PAK5,9
CLEC4M,9
TJP1,8
UBC,8
SOD1,8
CCL3L3,8
RYR1,8
HADH,8
GYS2,8
B4GALT1,8
B4GALT2,8
BCAT2,8
KITLG,8
KLC1,8
KLC2,8
KLC3,8
KLC4,8
AGXT2,8
MYH14,8
MYH9,8
MYL11,8
BMP4,8
PSMA2,8
PSMA3,8
PSMA4,8
PSMA5,8
CCL3,8
CCL3L1,8
PSMB4,8
PSMB5,8
PSMB6,8
PSMB7,8
PSMA6,8
PSMA7,8
PSMA8,8
PDYN,8
MAPK7,8
CASP12,8
MAPKAPK2,8
CBL,8
PRKCI,8
GUSB,8
GYS1,8
PSMA1,8
BIRC5,8
CTNNA1,8
STING1,8
CYP2C8,8
KCNJ9,8
SLC18A1,8
SLC18A2,8
FCER1G,8
FCGR2B,8
PGM1,8
PGM2,8
CD247,8
TAP1,8
TAP2,8
ACADS,8
WASF2,8
PSMB1,8
PSMB2,8
PSMB3,8
CCNB2,8
PSMD9,8
MYL7,8
MTR,8
UGP2,8
FLT3,8
SKP2,8
SPP1,8
ATG14,8
XBP1,8
NFKBIE,8
LDHC,8
CSNK1A1,8
CTNNA2,8
CTNNA3,8
CSNK1A1L,8
CSNK1E,8
RAPGEF3,8
GABBR1,8
MYH10,8
MYH11,8
CHRNA7,8
ENPP1,8
COMP,8
TPM3,8
TPTEP2-CSNK1E,8
PPP1R12A,8
IDH1,8
IDH2,8
LCP2,8
LDHA,8
LDHAL6A,8
LDHAL6B,8
LDHB,8
AKR1A1,8
FBP1,8
FBP2,8
SLC2A2,8
ENPP3,8
CDK1,8
MMP1,8
ADORA1,8
NCF4,8
IL4I1,8
IL4R,8
ALDH3A1,8
ALDH3B1,8
ALDH3B2,8
WIPI1,8
WIPI2,8
SERPINE1,8
GABBR2,8
CHRFAM7A,8
EZR,8
F2,8
